branch	uncorrected_p	corrected_p	rate_classes	rate_distribution(omega:prop)	positive_selection
Node5	0.001375	0.02888	2	1.000:0.94;16762.144:0.06	YES
Sceloporus_undulatus_C9A	0.003536	0.07071	2	0.004:0.94;6.941:0.06	no
Node10	0.006811	0.1294	2	0.327:0.98;25.324:0.02	no
Node18	0.01229	0.2212	2	0.810:0.98;37.672:0.02	no
Node6	0.01449	0.2463	2	0.000:0.81;2.179:0.19	no
Anolis_carolinensis_C9A	0.02438	0.3657	2	0.082:0.86;4.940:0.14	no
Anolis_carolinensis_C9B	0.0229	0.3663	2	0.195:0.98;17.238:0.02	no
Anolis_sagrei_C9B	0.02849	0.3989	2	0.005:0.87;6.425:0.13	no
Pogona_vitticeps_C9A	0.04248	0.5522	2	0.302:0.98;21.802:0.02	no
Node7	0.05558	0.6114	2	0.165:0.98;12.186:0.02	no
Node2	0.0549	0.6588	2	0.499:0.97;15.237:0.03	no
Node3	0.06922	0.6922	2	0.233:0.99;77.921:0.01	no
Furcifer_pardalis_C9A	0.1207	0.9659	2	0.010:0.87;3.553:0.13	no
Gambelia_wislizenii_C9A	0.1409	0.9864	2	0.013:0.81;2.546:0.19	no
Anolis_sagrei_C9A	1	1	1	0.420:1.00	no
Bradypodion_pumilum_C9A	1	1	1	0.391:1.00	no
Cyclura_pinguis_C9A	0.2208	1	2	0.445:0.99;126.030:0.01	no
Laudakia_wui_C9A	1	1	1	0.143:1.00	no
Node14	0.117	1	2	0.353:0.97;10.034:0.03	no
Node4	1	1	1	0.434:1.00	no
Phrynosoma_blainvillii_C9A	0.2359	1	2	0.042:0.82;2.222:0.18	no
